artist;artistIds;asciiName;attractionLights;availability;boosterTypes;borderColor;cardParts;colorIdentity;colorIndicator;colors;defense;duelDeck;edhrecRank;edhrecSaltiness;faceConvertedManaCost;faceFlavorName;faceManaValue;faceName;finishes;flavorName;flavorText;frameEffects;frameVersion;hand;hasAlternativeDeckLimit;hasContentWarning;hasFoil;hasNonFoil;isAlternative;isFullArt;isFunny;isOnlineOnly;isOversized;isPromo;isRebalanced;isReprint;isReserved;isStarter;isStorySpotlight;isTextless;isTimeshifted;keywords;language;layout;leadershipSkills;life;loyalty;manaCost;manaValue;name;number;originalPrintings;originalReleaseDate;originalText;originalType;otherFaceIds;power;printings;promoTypes;rarity;rebalancedPrintings;relatedCards;securityStamp;setCode;side;signature;subsets;subtypes;supertypes;text;toughness;type;types;uuid;variations;watermark
Alan Pollack;70c20ea3-5ad6-4082-a337-6e994ae5828e;;;mtgo, paper;default;black;;B;;B;;;4438.0;0.42;;;;;nonfoil, foil;;;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{7}{B}{B};9.0;Plague Wind;169;;;Destroy all creatures you don't control. They can't be regenerated.;Sorcery;;;10E, 8ED, 9ED, A25, PCY;;rare;;;;10E;;;;;;Destroy all creatures you don't control. They can't be regenerated.;;Sorcery;Sorcery;0af7633e-8851-5afa-8611-fb3272f05fef;;
Eric Peterson;0fc26d3b-4c0e-41d1-8eb3-286ab55a2328;;;mtgo, paper;default;black;;B;;B;;;17540.0;0.24;;;;;nonfoil, foil;;"""When mortals die, they have family, friends, compatriots to mourn them. When the land dies, all else dies with it, and there is no one left to weep.""\n—Jacinth, Skyshroud ranger";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{B}{B};3.0;Rain of Tears;170;;;Destroy target land.;Sorcery;;;10E, MMQ, POR, TMP;;uncommon;;;;10E;;;;;;Destroy target land.;;Sorcery;Sorcery;fd50dffd-b4d8-5956-9fec-b454fd1fef06;;
Carl Critchlow;17948f16-611a-44b8-8d10-9895a0bdfff1;;;mtgo, paper;default;black;;B;;B;;;8166.0;0.09;;;;;nonfoil, foil;;Nothing is sacred to rats. Everything is simply another meal.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{B};2.0;Ravenous Rats;171;;;When Ravenous Rats comes into play, target opponent discards a card.;Creature - Rat;;1;10E, 8ED, 9ED, DDD, DDJ, DPA, GVL, INV, M13, P02, PS11, S99, UDS, WC99;;common;;;;10E;;;;Rat;;When Ravenous Rats enters the battlefield, target opponent discards a card.;1;Creature — Rat;Creature;f4cf6831-f6af-51c9-af91-1246830ae0fd;;
Nelson DeCastro;0fdb4eb2-3c36-47ee-a207-a90557ff1bbd;;;mtgo, paper;default;black;;B;;B;;;10676.0;0.06;;;;;nonfoil, foil;;As Barrin exhumed his daughter's body, he finally realized the full price of his faith in Urza.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{B};3.0;Recover;172;;;Return target creature card from your graveyard to your hand.\nDraw a card.;Sorcery;;;10E, INV, MB1, MM3, RIX;;common;;;;10E;;;;;;Return target creature card from your graveyard to your hand.\nDraw a card.;;Sorcery;Sorcery;aa1053c3-4b45-5742-beb6-36d9316b204f;;
Thomas M. Baxa;ff346569-557d-4043-ae44-97c2c7cabd7d;;;mtgo, paper;default;black;;B;;B;;;8222.0;0.08;;;;;nonfoil, foil;;;;2003;;1.0;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{B}{B};3.0;Relentless Rats;173;;;Relentless Rats gets +1/+1 for each other creature in play named Relentless Rats.\nA deck can have any number of cards named Relentless Rats.;Creature - Rat;;2;10E, 5DN, A25, M10, M11, PLIST, PM11, SLP, TSR;;uncommon;;;;10E;;;;Rat;;Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats.\nA deck can have any number of cards named Relentless Rats.;2;Creature — Rat;Creature;70eb81fd-23fb-521a-9ac3-fae8f0ca5bf0;;
Mark Zug;48e2b98c-5467-4671-bd42-4c3746115117;;;mtgo, paper;default;black;;B;;B;;;2861.0;0.25;;;;;nonfoil, foil;;Trained in the arts of stealth, royal assassins choose their victims carefully, relying on timing and precision rather than brute force.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{B}{B};3.0;Royal Assassin;174;;;{T}: Destroy target tapped creature.;Creature - Human Assassin;;1;10E, 2ED, 30A, 3ED, 4BB, 4ED, 8ED, 9ED, CED, CEI, DMR, FBB, LEA, LEB, M10, M11, M12, PJJT, PJSE, PRM, PSUS, SUM;;rare;;;;10E;;;;Human, Assassin;;{T}: Destroy target tapped creature.;1;Creature — Human Assassin;Creature;23e48622-2895-5385-99a4-892c93a5d3d2;;
Kev Walker;f366a0ee-a0cd-466d-ba6a-90058c7a31a6;;;mtgo, paper;default;black;;B;;B;;;23473.0;0.06;;;;;nonfoil, foil;;"""They groaned, they stirred, they all uprose,\nNor spake, nor moved their eyes;\nIt had been strange, even in a dream,\nTo have seen those dead men rise.""\n—Samuel Taylor Coleridge,\n""The Rime of the Ancient Mariner""";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{B};3.0;Scathe Zombies;175;;;;Creature - Zombie;;2;10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ANB, CED, CEI, FBB, ITP, LEA, LEB, RQS, S99, SUM;;common;;;;10E;;;;Zombie;;;2;Creature — Zombie;Creature;8c2f219b-5122-52b2-940c-988c5818d788;;
Kev Walker;f366a0ee-a0cd-466d-ba6a-90058c7a31a6;;;mtgo, paper;default;black;;B;;B;;;13595.0;;;;;;nonfoil;;Empires rise and fall, but evil is eternal.;;2003;;;;0;1;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{3}{B}{B};5.0;Sengir Vampire;176;;;Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn is put into a graveyard, put a +1/+1 counter on Sengir Vampire.;Creature - Vampire;;4;10E, 2ED, 30A, 3ED, 4BB, 4ED, 9ED, ANB, BRB, BTD, CED, CEI, DDK, DPA, FBB, JMP, LEA, LEB, M12, M14, M15, MB1, ME4, ORI, P30H, PS11, PTC, SUM, TOR, W16, W17;;rare;;;;10E;;;;Vampire;;Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.;4;Creature — Vampire;Creature;74fa21a6-66f3-5395-a95f-19e9f0b1d24b;47fe8296-36c6-5338-b239-9fa0cceba156;
Kev Walker;f366a0ee-a0cd-466d-ba6a-90058c7a31a6;;;mtgo, paper;default;black;;B;;B;;;13595.0;;;;;;foil;;Empires rise and fall, but evil is eternal.;;2003;;;;1;0;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{3}{B}{B};5.0;Sengir Vampire;176★;;;;;;4;10E, 2ED, 30A, 3ED, 4BB, 4ED, 9ED, ANB, BRB, BTD, CED, CEI, DDK, DPA, FBB, JMP, LEA, LEB, M12, M14, M15, MB1, ME4, ORI, P30H, PS11, PTC, SUM, TOR, W16, W17;;rare;;;;10E;;;;Vampire;;Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.;4;Creature — Vampire;Creature;47fe8296-36c6-5338-b239-9fa0cceba156;74fa21a6-66f3-5395-a95f-19e9f0b1d24b;
Dany Orizio;fcd5ea36-64e0-4af0-992a-3c68a34a400f;;;mtgo, paper;default;black;;B;;B;;;20994.0;;;;;;nonfoil;;No one in Aphetto answers a knock at the door after sundown.;;2003;;;;0;1;;;;;;;;1.0;;;;;;Fear;English;normal;;;;{1}{B}{B};3.0;Severed Legion;177;;;Fear (This creature can't be blocked except by artifact creatures and/or black creatures.);Creature - Zombie;;2;10E, 8ED, DPA, ONS, PS11;;common;;;;10E;;;;Zombie;;Fear (This creature can't be blocked except by artifact creatures and/or black creatures.);2;Creature — Zombie;Creature;e9cf9c31-aa62-53f4-bff2-71cd5e2f4004;285ed705-6771-5dc8-8076-c252fe984278;
Dany Orizio;fcd5ea36-64e0-4af0-992a-3c68a34a400f;;;mtgo, paper;default;black;;B;;B;;;20994.0;;;;;;foil;;No one in Aphetto answers a knock at the door after sundown.;;2003;;;;1;0;;;;;;;;1.0;;;;;;Fear;English;normal;;;;{1}{B}{B};3.0;Severed Legion;177★;;;;;;2;10E, 8ED, DPA, ONS, PS11;;common;;;;10E;;;;Zombie;;Fear (This creature can't be blocked except by artifact creatures and/or black creatures.);2;Creature — Zombie;Creature;285ed705-6771-5dc8-8076-c252fe984278;e9cf9c31-aa62-53f4-bff2-71cd5e2f4004;
Randy Gallegos;a5048cc7-438a-4378-98e4-da99b78e1db0;;;mtgo, paper;default;black;;B;;B;;;9521.0;0.08;;;;;nonfoil, foil;;;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{B};1.0;Sleeper Agent;178;;;When Sleeper Agent comes into play, target opponent gains control of it.\nAt the beginning of your upkeep, Sleeper Agent deals 2 damage to you.;Creature - Minion;;3;10E, PLIST, USG;;rare;;;;10E;;;;Phyrexian, Minion;;When Sleeper Agent enters the battlefield, target opponent gains control of it.\nAt the beginning of your upkeep, Sleeper Agent deals 2 damage to you.;3;Creature — Phyrexian Minion;Creature;d1797b46-68c8-57b9-913e-cca4feb3dae8;;
Adam Rex;445bd2fb-4a70-4599-87a4-83cf5979fc56;;;mtgo, paper;default;black;;B;;B;;;22578.0;0.3;;;;;nonfoil, foil;;"""I smell the tang of a mortal's fresh blood. I hear it sliding wetly beneath its skin. My hunger cannot refuse the invitation.""\n—Yuri, Sengir vampire";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{B}{B};5.0;Soul Feast;179;;;Target player loses 4 life and you gain 4 life.;Sorcery;;;10E, 7ED, 8ED, 9ED, S99, UDS, WC03;;uncommon;;;;10E;;;;;;Target player loses 4 life and you gain 4 life.;;Sorcery;Sorcery;65e0dbca-81ed-538d-8f71-d5ddc5a927b9;;
Matthew D. Wilson;4fbafd13-0cf9-42a1-870d-7f8ea276f140;;;mtgo, paper;default;black;;B;;B;;;23170.0;;;;;;nonfoil, foil;;What it lacks in backbone, it makes up for in cruelty.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{B};2.0;Spineless Thug;180;;;Spineless Thug can't block.;Creature - Zombie Mercenary;;2;10E, 7ED, 8ED, 9ED, NEM, PSAL;;common;;;;10E;;;;Phyrexian, Zombie, Mercenary;;Spineless Thug can't block.;2;Creature — Phyrexian Zombie Mercenary;Creature;e24e5e4e-722f-56ff-9555-9b76303fc6be;;
Daarken;e607a0d4-fc12-4c01-9e3f-501f5269b9cb;;;mtgo, paper;default;black;;B;;B;;;18851.0;0.14;;;;;nonfoil, foil;;In Urborg, the instigators of each new rebellion are soaked in the blood of the last.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{B}{B};4.0;Stronghold Discipline;181;;;Each player loses 1 life for each creature he or she controls.;Sorcery;;;10E, CNS, NEM;;uncommon;;;;10E;;;;;;Each player loses 1 life for each creature they control.;;Sorcery;Sorcery;4c9c5ea9-5bca-5301-a0a2-2680fe75b04a;;
Adam Rex;445bd2fb-4a70-4599-87a4-83cf5979fc56;;;mtgo, paper;default;black;;B;;B;;;7337.0;0.2;;;;;nonfoil, foil;;;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{B};2.0;Terror;182;;;Destroy target nonartifact, nonblack creature. It can't be regenerated.;Instant;;;10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, ATH, BRB, BTD, CED, CEI, DMR, DPA, FBB, FNM, ITP, LEA, LEB, ME4, MRD, P05, PRM, PS11, RQS, SUM, TD0;;common;;;;10E;;;;;;Destroy target nonartifact, nonblack creature. It can't be regenerated.;;Instant;Instant;5fab2f5f-3737-5e5b-b572-26abb094331b;;
rk post;81ae0f3f-1d88-4125-9aeb-b15b4c734c82;;;mtgo, paper;default;black;;B;;B;;;20957.0;0.18;;;;;nonfoil, foil;;"""Just take a little off the top.""";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{B};2.0;Thrull Surgeon;183;;;{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Play this ability only any time you could play a sorcery.;Creature - Thrull;;1;10E, EXO, TPR, WC98;;uncommon;;;;10E;;;;Thrull;;{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Activate only as a sorcery.;1;Creature — Thrull;Creature;01d6c876-b6e6-5534-8bef-42862a9cd839;;
Carl Critchlow;17948f16-611a-44b8-8d10-9895a0bdfff1;;;mtgo, paper;default;black;;B;;B;;;1411.0;0.55;;;;;nonfoil, foil;;"""In the drowsy dark cave of the mind, dreams build their nest with fragments dropped from day's caravan.""\n—Rabindranath Tagore";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{B}{B}{B};3.0;Underworld Dreams;184;;;Whenever an opponent draws a card, Underworld Dreams deals 1 damage to him or her.;Enchantment;;;10E, 8ED, 9ED, DPA, LEG, M10, P2HG, PRM, PS11, SLD, THB;;rare;;;;10E;;;;;;Whenever an opponent draws a card, Underworld Dreams deals 1 damage to that player.;;Enchantment;Enchantment;86b465df-0605-555c-aaa4-303f7e32d4d2;;
Terese Nielsen;eb55171c-2342-45f4-a503-2d5a75baf752;;;mtgo, paper;default;black;;B;;B;;;15788.0;0.18;;;;;nonfoil;;Such power grows the body as it shrinks the soul.;;2003;;;;0;1;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{B};1.0;Unholy Strength;185;;;Enchant creature (Target a creature as you play this. This card comes into play attached to that creature.)\nEnchanted creature gets +2/+1.;Enchantment - Aura;;;10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 7ED, 8ED, 9ED, ATH, CED, CEI, DDC, DPA, DVD, FBB, LEA, LEB, M10, M11, PS11, SUM;;common;;;;10E;;;;Aura;;Enchant creature\nEnchanted creature gets +2/+1.;;Enchantment — Aura;Enchantment;53d6532f-43a4-5c01-891c-3ff67a49d290;27d4596d-3c6c-5d6e-a978-424044a468d4;
Terese Nielsen;eb55171c-2342-45f4-a503-2d5a75baf752;;;mtgo, paper;default;black;;B;;B;;;15788.0;0.18;;;;;foil;;Such power grows the body as it shrinks the soul.;;2003;;;;1;0;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{B};1.0;Unholy Strength;185★;;;;;;;10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 7ED, 8ED, 9ED, ATH, CED, CEI, DDC, DPA, DVD, FBB, LEA, LEB, M10, M11, PS11, SUM;;common;;;;10E;;;;Aura;;Enchant creature\nEnchanted creature gets +2/+1.;;Enchantment — Aura;Enchantment;27d4596d-3c6c-5d6e-a978-424044a468d4;53d6532f-43a4-5c01-891c-3ff67a49d290;
Chippy;a36f01a0-e51a-48b2-a556-b9b3bc73f969;;;mtgo, paper;default;black;;B;;B;;;20072.0;;;;;;nonfoil;;;;2003;;;;0;1;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{B};1.0;Vampire Bats;186;;;Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Play this ability no more than twice each turn.;Creature - Bat;;0;10E, 4BB, 4ED, 5ED, DDD, GVL, ITP, LEG, REN, RQS;;common;;;;10E;;;;Bat;;Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.;1;Creature — Bat;Creature;4c9c45db-116c-59e0-a708-d471e38c6361;e65aae37-20bc-5499-aee4-c1f30832f7b0;
Chippy;a36f01a0-e51a-48b2-a556-b9b3bc73f969;;;mtgo, paper;default;black;;B;;B;;;20072.0;;;;;;foil;;;;2003;;;;1;0;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{B};1.0;Vampire Bats;186★;;;;;;0;10E, 4BB, 4ED, 5ED, DDD, GVL, ITP, LEG, REN, RQS;;common;;;;10E;;;;Bat;;Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.;1;Creature — Bat;Creature;e65aae37-20bc-5499-aee4-c1f30832f7b0;4c9c45db-116c-59e0-a708-d471e38c6361;
Greg Staples;93d65564-bf00-447b-8406-e2031f03b6b1;;;mtgo, paper;default;black;;R;;R;;;21681.0;;;;;;nonfoil;;"""They who challenge a minotaur enjoy the taste of their own blood.""\n—Mirri of the *Weatherlight*";;2003;;;;0;1;;;;;;;;1.0;;;;;;First strike;English;normal;;;;{3}{R};4.0;Anaba Bodyguard;187;;;First strike (This creature deals combat damage before creatures without first strike.);Creature - Minotaur;;2;10E, 6ED, HML;;common;;;;10E;;;;Minotaur;;First strike (This creature deals combat damage before creatures without first strike.);3;Creature — Minotaur;Creature;5119e249-f9be-56b3-9deb-72d7cba52ea8;08099cff-a271-54f1-942e-2fe7101c7bac;
Greg Staples;93d65564-bf00-447b-8406-e2031f03b6b1;;;mtgo, paper;default;black;;R;;R;;;21681.0;;;;;;foil;;"""They who challenge a minotaur enjoy the taste of their own blood.""\n—Mirri of the *Weatherlight*";;2003;;;;1;0;;;;;;;;1.0;;;;;;First strike;English;normal;;;;{3}{R};4.0;Anaba Bodyguard;187★;;;;;;2;10E, 6ED, HML;;common;;;;10E;;;;Minotaur;;First strike (This creature deals combat damage before creatures without first strike.);3;Creature — Minotaur;Creature;08099cff-a271-54f1-942e-2fe7101c7bac;5119e249-f9be-56b3-9deb-72d7cba52ea8;
Dan Dos Santos;9b55c657-5b5b-4152-a6e2-51180517bfa9;;;mtgo, paper;default;black;;R;;R;;;15409.0;;;;;;nonfoil;;;;2003;;;;0;1;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{2}{R};3.0;Arcane Teachings;188;;;"Enchant creature (Target a creature as you play this. This card comes into play attached to that creature.)\nEnchanted creature gets +2/+2 and has ""{T}: This creature deals 1 damage to target creature or player.""";Enchantment - Aura;;;10E, JUD, PLIST;;uncommon;;;;10E;;;;Aura;;"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +2/+2 and has ""{T}: This creature deals 1 damage to any target.""";;Enchantment — Aura;Enchantment;f6226c44-1f81-530a-9dda-8a63b412c727;66cdbfaf-8bc2-5313-9c5c-7d422d2e4b0a;
Dan Dos Santos;9b55c657-5b5b-4152-a6e2-51180517bfa9;;;mtgo, paper;default;black;;R;;R;;;15409.0;;;;;;foil;;Not all knowledge is learned from parchment.;;2003;;;;1;0;;;;;;;;1.0;;;;;;Enchant;English;normal;;;;{2}{R};3.0;Arcane Teachings;188★;;;;;;;10E, JUD, PLIST;;uncommon;;;;10E;;;;Aura;;"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +2/+2 and has ""{T}: This creature deals 1 damage to any target.""";;Enchantment — Aura;Enchantment;66cdbfaf-8bc2-5313-9c5c-7d422d2e4b0a;f6226c44-1f81-530a-9dda-8a63b412c727;
Greg Hildebrandt;020f967b-0d2f-4166-aabe-901dba8bc7ec;;;mtgo, paper;default;black;;R;;R;;;13172.0;;;;;;nonfoil, foil;;The Great Furnace's blessing is a spectacular sight, but the best view comes at a high cost.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{R}{R};5.0;Beacon of Destruction;189;;;Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.;Instant;;;10E, 5DN, DDS;;rare;;;;10E;;;;;;Beacon of Destruction deals 5 damage to any target. Shuffle Beacon of Destruction into its owner's library.;;Instant;Instant;5543c576-ef2b-59ac-878b-3aff199f27de;;
Alex Horley-Orlandelli;1631a2ad-bf03-4ab9-b86c-60da982d58a1;;;mtgo, paper;default;black;;R;;R;;;9986.0;0.11;;;;;nonfoil, foil;;;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{X}{R};1.0;Blaze;190;;;Blaze deals X damage to target creature or player.;Sorcery;;;10E, 6ED, 7ED, 8ED, 9ED, BBD, DPA, GN3, HOP, J22, P02, POR, PS11, PTK, WC00;;uncommon;;;;10E;;;;;;Blaze deals X damage to any target.;;Sorcery;Sorcery;e54f8939-0853-5b0b-81b0-a29391bfb9e0;;
Greg Staples;93d65564-bf00-447b-8406-e2031f03b6b1;;;mtgo, paper;default;black;;R;;R;;;11235.0;0.13;;;;;nonfoil, foil;;It took all its strength to contain the fire within.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{6}{R}{R};8.0;Bloodfire Colossus;191;;;{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.;Creature - Giant;;6;10E, 9ED, APC, DDI;;rare;;;;10E;;;;Giant;;{R}, Sacrifice Bloodfire Colossus: It deals 6 damage to each creature and each player.;6;Creature — Giant;Creature;9ae3a282-1852-5b73-8c60-eabca0956349;;
Alex Horley-Orlandelli;1631a2ad-bf03-4ab9-b86c-60da982d58a1;;;mtgo, paper;default;black;;R;;R;;;24663.0;;;;;;nonfoil, foil;;"""There are only fifty words in the cyclops language, and ten of them mean 'kill.'""\n—Ertai";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{R};3.0;Bloodrock Cyclops;192;;;Bloodrock Cyclops attacks each turn if able.;Creature - Cyclops;;3;10E, BTD, JMP, WTH;;common;;;;10E;;;;Cyclops;;Bloodrock Cyclops attacks each combat if able.;3;Creature — Cyclops;Creature;9370dddd-ba64-53f9-8890-f391ee305326;;
Terese Nielsen;eb55171c-2342-45f4-a503-2d5a75baf752;;;mtgo, paper;default;black;;R;;R;;;22105.0;;;;;;nonfoil, foil;;"""The next one who tells me to relax and curl up by a fire is dead.""\n—Mirri of the *Weatherlight*";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{R};3.0;Bogardan Firefiend;193;;;When Bogardan Firefiend is put into a graveyard from play, it deals 2 damage to target creature.;Creature - Elemental Spirit;;2;10E, HOP, WTH;;common;;;;10E;;;;Elemental, Spirit;;When Bogardan Firefiend dies, it deals 2 damage to target creature.;1;Creature — Elemental Spirit;Creature;c676dcc1-ff7c-51eb-a878-7e1bb3ee6ce2;;
Chippy;a36f01a0-e51a-48b2-a556-b9b3bc73f969;;;mtgo, paper;default;black;;R;;R;;;18317.0;;;;;;nonfoil, foil;;;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{R}{R};5.0;Cone of Flame;194;;;Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.;Sorcery;;;10E, DD2, DDG, HOP, J22, JVC, M15, W16, WTH;;uncommon;;;;10E;;;;;;Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target.;;Sorcery;Sorcery;cdc0805a-73b1-5d98-bff3-4e06e6a1f036;;
Zoltan Boros & Gabor Szikszai;1885e6cb-c827-4896-994e-3d0a027d602f, 44c3877f-8771-43dc-9e40-f4c765f59d2e;;;mtgo, paper;default;black;;R;;R;;;22617.0;0.31;;;;;nonfoil, foil;;The people of Terisiare had come to live on frozen fields as though on solid ground. Nothing reminded them of the difference more clearly than the rifts brought on by the Thaw.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{R};3.0;Cryoclasm;195;;;Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.;Sorcery;;;10E, CSP;;uncommon;;;;10E;;;;;;Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.;;Sorcery;Sorcery;ab4f32a2-6671-5724-8ce9-6b721a5f2417;;
Gary Ruddell;086111c7-93f0-4bab-b339-6fe1c00d693c;;;mtgo, paper;default;black;;R;;R;;;11456.0;0.14;;;;;nonfoil, foil;;"""Pound the steel until it fits. Doesn't work? Bash to bits.""\n—Dwarven forging song";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{R};4.0;Demolish;196;;;Destroy target artifact or land.;Sorcery;;;10E, 8ED, 9ED, AVR, KLD, M11, M14, MB1, ODY, ORI, THS, WAR, WC03, XLN, ZEN;;common;;;;10E;;;;;;Destroy target artifact or land.;;Sorcery;Sorcery;8e171679-0214-5448-9188-883cfa365c6a;;
Jim Pavelec;1431bdd4-c187-40ea-847a-e1dcd835598a;;;mtgo, paper;default;black;;R;;R;;;16487.0;;;;;;nonfoil;;Dragons erupt from peaks of chaos and flow from rivers of molten rage.;;2003;;;;0;1;;;;;;;;1.0;;;;;;;English;normal;;;;{4}{R}{R};6.0;Dragon Roost;197;;;{5}{R}{R}: Put a 5/5 red Dragon creature token with flying into play. (It can't be blocked except by creatures with flying or reach.);Enchantment;;;10E, ONS, PS11;;rare;;;;10E;;;;;;{5}{R}{R}: Create a 5/5 red Dragon creature token with flying. (It can't be blocked except by creatures with flying or reach.);;Enchantment;Enchantment;890a9b49-9cea-500c-80c2-220e38b661fe;6bb35d3c-20f6-5e0e-aea9-cffbef432373;
Jim Pavelec;1431bdd4-c187-40ea-847a-e1dcd835598a;;;mtgo, paper;default;black;;R;;R;;;16487.0;;;;;;foil;;Dragons erupt from peaks of chaos and flow from rivers of molten rage.;;2003;;;;1;0;;;;;;;;1.0;;;;;;;English;normal;;;;{4}{R}{R};6.0;Dragon Roost;197★;;;;;;;10E, ONS, PS11;;rare;;;;10E;;;;;;{5}{R}{R}: Create a 5/5 red Dragon creature token with flying. (It can't be blocked except by creatures with flying or reach.);;Enchantment;Enchantment;6bb35d3c-20f6-5e0e-aea9-cffbef432373;890a9b49-9cea-500c-80c2-220e38b661fe;
Stephen Daniele;a267f9bb-072b-410a-a704-50f4d19020d8;;;mtgo, paper;default;black;;R;;R;;;24167.0;;;;;;nonfoil, foil;;"""Boss told us to try and train 'em. Trained it to attack—it ate Flugg. Trained it to run fast—it got away. Success!""\n—Dlig, goblin spelunker";;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{R};1.0;Duct Crawler;198;;;{1}{R}: Target creature can't block Duct Crawler this turn.;Creature - Insect;;1;10E, STH;;common;;;;10E;;;;Insect;;{1}{R}: Target creature can't block Duct Crawler this turn.;1;Creature — Insect;Creature;91ea7dc6-6498-5ecf-853f-0090ae00fbfb;;
Anthony S. Waters;f009de11-3c8d-4663-b996-ca0c3e997fad;;;mtgo, paper;default;black;;R;;R;;;22673.0;;;;;;nonfoil, foil;;Earth elementals have the eternal strength of stone and the endurance of mountains. Primordially connected to the land they inhabit, they take a long-term view of things, scorning the impetuous haste of short-lived mortal creatures.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{R}{R};5.0;Earth Elemental;199;;;;Creature - Elemental;;4;10E, 2ED, 30A, 3ED, 4BB, 4ED, BBD, CED, CEI, DPA, FBB, IMA, LEA, LEB, MB1, PS11, S99, SUM;;uncommon;;;;10E;;;;Elemental;;;5;Creature — Elemental;Creature;4bdb6002-18d3-5a09-a94c-da7796980b83;;
